"","region","district","year","pop"
"1","Greater Accra","Ledzokuku",2015,185180.9168634
"2","Northern East","Chereponi",2015,80403.3360536918
"3","Upper West","Wa Municipal",2015,183488.743678924
"4","Upper West","Jirapa",2015,82879.2896602824
"5","Upper West","Sissala West",2015,58570.5976691917
"6","Upper West","Lambussie",2015,44796.5271836184
"7","Upper East","Bolgatanga Municipal",2015,127760.258667272
"8","Upper East","Bongo",2015,111475.647795968
"9","Upper East","Kasena-Nankana West",2015,74698.3030446172
"10","Upper West","Wa West",2015,82855.6510142908
"11","Savannah","Sawla-Tuna-Kalba",2015,106856.304183047
"12","Upper West","Sissala East",2015,74238.0724588782
"13","Upper East","Kasena-Nankana",2015,98248.5053248666
"14","Northern East","Yunyoo-Nasuan",2015,53376.3634192497
"15","Upper East","Garu",2015,54861.2785673477
"16","Northern East","East Mamprusi",2015,172019.885404281
"17","Upper East","Bawku West",2015,131839.208025306
"18","Bono","Dormaa East",2015,60699.4098509885
"19","Bono","Berekum",2015,100083.457408153
"20","Bono","Jaman South",2015,100468.808329884
"21","Bono","Sunyani West",2015,126629.406549949
"22","Ahafo","Asunafo North",2015,138387.37261546
"23","Bono East","Nkoranza North",2015,51587.2756606601
"24","Bono East","Kintampo South",2015,90019.7773018368
"25","Ahafo","Tano North",2015,86346.7025468126
"26","Volta","Ketu North",2015,99534.9709294736
"27","Volta","Ketu South",2015,232826.96380543
"28","Volta","Anloga",2015,86210.0969706178
"29","Volta","South Tongu",2015,100530.711663626
"30","Oti","Jasikan",2015,54163.4872917011
"31","Oti","Krachi East",2015,109923.13792491
"32","Oti","Nkwanta South",2015,128447.681086022
"33","Ashanti","Afigya Kwabre North",2015,60217.8881537281
"34","Ashanti","Atwima Kwanwoma",2015,189030.295748442
"35","Ashanti","Sekyere South",2015,111391.346714329
"36","Ashanti","Sekyere East",2015,71654.9516874179
"37","Ashanti","Sekyere Central",2015,63818.0902268738
"38","Ashanti","Offinso North",2015,71415.6999980286
"39","Ashanti","Offinso",2015,127000.858010072
"40","Greater Accra","Adentan",2015,191624.016940851
"41","Bono","Dormaa Municipal",2015,103758.62586654
"42","Ashanti","Ahafo Ano South West",2015,66418.5798658207
"43","Ashanti","Bekwai",2015,128236.647541065
"44","Ashanti","Bosomtwe",2015,146849.904869907
"45","Central","Ajumako-Enyan-Essiam",2015,110941.28489304
"46","Central","Gomoa West",2015,118722.04496875
"47","Ashanti","Obuasi",2015,86615.4829297215
"48","Ashanti","Kwabre East",2015,265457.206718437
"49","Ashanti","Ejura-Sekyedumase",2015,126800.877958547
"50","Ashanti","Atwima Nwabiagya",2015,200592.948761657
"51","Ashanti","Atwima Mponua",2015,141590.9674921
"52","Ashanti","Adansi South",2015,78195.5494406894
"53","Ashanti","Adansi Asokwa",2015,66751.7792751305
"54","Ashanti","Bosome Freho",2015,56846.3786118478
"55","Ashanti","Asante Mampong",2015,106872.965755232
"56","Central","Agona West",2015,119061.394509498
"57","Central","Agona East",2015,99855.7459401675
"58","Central","Assin North",2015,84770.7561723329
"59","Central","Assin South",2015,96089.8868359886
"60","Central","Asikuma-Odoben-Brakwa",2015,119035.09666292
"61","Central","Efutu",2015,90850.5010344312
"62","Central","Gomoa East",2015,330762.610457212
"63","Central","Abura-Asebu-Kwamankese",2015,107141.206427865
"64","Western","Jomoro",2015,116447.620245963
"65","Western","Ellembelle",2015,111013.019387815
"66","Western","Prestea-Huni Valley",2015,212724.074909847
"67","Western","Ahanta West",2015,140644.816350318
"68","Western","Nzema East",2015,89745.0732770488
"69","Western","Tarkwa-Nsuaem",2015,198535.196882684
"70","Western North","Sefwi-Akontombra",2015,62140.5275665559
"71","Eastern","Akyemansa",2015,84027.3124647625
"72","Eastern","Kwahu South",2015,86950.0764004365
"73","Eastern","Asene Manso Akroso",2015,69894.9396672286
"74","Eastern","Upper Manya-Krobo",2015,65974.9258812778
"75","Eastern","Achiase",2015,43648.72822145
"76","Eastern","Okere",2015,47306.2445390932
"77","Eastern","Yilo-Krobo",2015,115721.80113934
"78","Eastern","Atiwa West",2015,55168.637209937
"79","Eastern","New Juaben North",2015,78103.7693456598
"80","Eastern","Fanteakwa North",2015,56250.7479706705
"81","Eastern","Birim North",2015,75730.003567066
"82","Eastern","Asuogyaman",2015,94386.3666846566
"83","Eastern","Kwahu East",2015,64993.8726594634
"84","Eastern","Kwahu West",2015,131080.441569991
"85","Western North","Bibiani-Anhwiaso-Bekwai",2015,153474.982749384
"86","Central","Upper Denkyira East",2015,94627.45227414
"87","Ashanti","Amansie Central",2015,84019.7524079978
"88","Ashanti","Amansie South",2015,104696.491731446
"89","Central","Upper Denkyira West",2015,90139.9934406728
"90","Central","Komenda-Edna-Eguafo-Abirem",2015,152657.377932407
"91","Western North","Sefwi-Wiawso",2015,139011.771301616
"92","Ahafo","Asunafo South",2015,85759.1144037917
"93","Bono East","Nkoranza South",2015,105612.876605377
"94","Savannah","Bole",2015,106347.338856619
"95","Eastern","Lower-Manya Krobo",2015,105813.120877083
"96","Bono East","Kintampo North",2015,121832.151797056
"97","Bono East","Atebubu-Amanten",2015,133598.578818813
"98","Northern","Kpandai",2015,81180.1031659991
"99","Oti","Nkwanta North",2015,113596.392941855
"100","Oti","Biakoye",2015,65264.5507770181
"101","Savannah","Central Gonja",2015,127721.917570606
"102","Bono East","Pru West",2015,43520.8469343632
"103","Northern","Savelugu",2015,110847.598429184
"104","Northern","Karaga",2015,116246.497288454
"105","Savannah","East Gonja",2015,147891.338212155
"106","Volta","South Dayi",2015,52106.1526155286
"107","Upper West","Wa East",2015,86581.8400634341
"108","Northern","Saboba",2015,88592.0939244479
"109","Northern","Gushiegu",2015,136151.881976176
"110","Northern","Nanumba North",2015,147525.764066722
"111","Northern","Nanumba South",2015,125271.229112029
"112","Bono","Wenchi",2015,113704.960312258
"113","Ahafo","Tano South",2015,80525.46488747
"114","Bono","Sunyani Municipal",2015,177712.945932757
"115","Ashanti","Asante Akim South",2015,111317.715092693
"116","Greater Accra","Ada East",2015,72468.8292361684
"117","Greater Accra","Shai-Osudoku",2015,97975.3069150709
"118","Greater Accra","Ada West",2015,67246.6059812196
"119","Greater Accra","Ningo Prampram",2015,197338.225009456
"120","Bono East","Techiman North",2015,85085.7991507165
"121","Bono","Banda",2015,26546.4098557532
"122","Bono","Jaman North",2015,109120.333932668
"123","Bono","Tain",2015,104985.916048959
"124","Ashanti","Sekyere Kumawu",2015,58505.7570445687
"125","Ashanti","Sekyere Afram Plains",2015,32379.8701243512
"126","Ashanti","Asante Akim North",2015,78601.2869186029
"127","Ashanti","Asante Akim Central",2015,84612.3819611967
"128","Ashanti","Juaben",2015,55546.0970522575
"129","Greater Accra","La-Dade-Kotopon",2015,130360.451846533
"130","Western North","Aowin",2015,120680.28297773
"131","Western North","Suaman",2015,36029.3238507882
"132","Western North","Bia East",2015,48468.2652271613
"133","Western North","Bia West",2015,100321.704139858
"134","Western North","Bodi",2015,60345.1014715359
"135","Western North","Juaboso",2015,90568.1548284702
"136","Western","Shama",2015,108836.351227634
"137","Western","Wassa East",2015,94293.8623102121
"138","Western","Mpohor",2015,46190.0982748345
"139","Western","Wassa Amenfi West",2015,121567.883686364
"140","Western","Wassa Amenfi Central",2015,124447.428526547
"141","Central","Mfantsiman",2015,144545.717073709
"142","Central","Ekumfi",2015,67648.5497587137
"143","Central","Twifo-Hemang Lower Denkyira",2015,61527.5057470202
"144","Central","Twifo-Ati-Mokwa",2015,92776.3937513307
"145","Central","Awutu Senya",2015,151900.49825016
"146","Greater Accra","La-Nkwantanang-Madina",2015,248730.730612729
"147","Greater Accra","Ga East",2015,292008.600937359
"148","Western","Wassa Amenfi East",2015,148726.022892609
"149","Central","Gomoa Central",2015,61458.5610162504
"150","Central","Assin Foso",2015,73994.5571501032
"151","Greater Accra","Ayawaso West",2015,88287.3219681531
"152","Greater Accra","Ga West",2015,306613.962009974
"153","Oti","Krachi West",2015,54229.3248503506
"154","Oti","Krachi Nchumuru",2015,73620.7294784486
"155","Volta","Agortime-Ziope",2015,36269.712527737
"156","Volta","Adaklu",2015,37957.5475431457
"157","Volta","Akatsi South",2015,85914.9341771007
"158","Volta","Akatsi North",2015,28961.2391384915
"159","Volta","Ho",2015,161547.148901101
"160","Volta","Hohoe",2015,105069.271950707
"161","Volta","Ho West",2015,77778.6690847911
"162","Volta","Afadjato South",2015,68539.2180166356
"163","Volta","North Dayi",2015,34606.1563971937
"164","Volta","Kpando",2015,54515.5151370242
"165","Volta","North Tongu",2015,102819.701251552
"166","Volta","Central Tongu",2015,73455.7573676929
"167","Eastern","Nsawam-Adoagyiri",2015,140351.984603021
"168","Greater Accra","Ga Central",2015,259306.70500949
"169","Eastern","Akwapim South",2015,53865.9063160941
"170","Eastern","Denkyembour",2015,71209.6059144959
"171","Eastern","Kwaebibirem",2015,111681.562634405
"172","Eastern","Afram Plains South",2015,66692.6571183205
"173","Eastern","Kwahu North",2015,61712.9181023724
"174","Eastern","Suhum",2015,118149.917790789
"175","Eastern","Ayensuano",2015,85362.0595261231
"176","Eastern","East Akim - Abuakwa South",2015,68643.3186533526
"177","Eastern","Upper West Akim",2015,81166.3817865029
"178","Eastern","West Akim",2015,115147.200598352
"179","Bono","Dormaa West",2015,43306.2390600294
"180","Upper West","Nadowli-Kaleo",2015,70557.9699376263
"181","Upper West","Daffiama-Bussie-Issa",2015,36028.499617815
"182","Upper West","Lawra",2015,53730.8896269202
"183","Upper West","Nandom",2015,49250.9427683502
"184","Upper East","Talensi",2015,80268.1441836394
"185","Upper East","Nabdam",2015,41355.7068962939
"186","Upper East","Builsa South",2015,34229.2576485127
"187","Upper East","Builsa North",2015,51682.4125359617
"188","Upper East","Binduri",2015,64716.2750294656
"189","Upper East","Pusiga",2015,73413.8530607969
"190","Upper East","Bawku Municipal",2015,114768.968989342
"191","Savannah","West Gonja",2015,60450.965499498
"192","Northern","Mion",2015,90575.313692376
"193","Northern","Yendi",2015,140148.083435588
"194","Northern","Tolon",2015,114810.065650117
"195","Northern","Kumbungu",2015,96785.2538067438
"196","Northern East","West Mamprusi",2015,162547.069981445
"197","Northern East","Mamprugu-Moagduri",2015,63106.4591459371
"198","Northern","Zabzugu",2015,76749.4266301654
"199","Northern","Tatale-Sangule",2015,68801.2484936379
"200","Bono East","Sene East",2015,66058.5888515487
"201","Bono East","Sene West",2015,65961.6509690098
"202","Ahafo","Asutifi North",2015,68619.804090675
"203","Ashanti","Ahafo Ano North",2015,83490.2694925442
"204","Ahafo","Asutifi South",2015,66144.1599376053
"205","Bono East","Techiman Municipal",2015,237090.031456918
"206","Savannah","North Gonja",2015,56326.9148797579
"207","Greater Accra","Tema West",2015,200215.202044245
"208","Greater Accra","Ashaiman",2015,196151.15329304
"209","Greater Accra","Kpone-Katamanso",2015,394008.065512527
"210","Upper East","Tempane",2015,89763.9422868304
"211","Upper East","Bolgatanga East",2015,39690.2555080056
"212","Northern East","Bunkpurugu -Nakpanduri",2015,76025.5842772722
"213","Savannah","North-East Gonja",2015,35949.7897405773
"214","Northern","Nanton",2015,43458.385620553
"215","Bono","Berekum West",2015,41257.6440669745
"216","Bono East","Pru",2015,106943.619871926
"217","Eastern","Fanteakwa South",2015,46445.3498145528
"218","Eastern","New Juaben South",2015,127721.501197435
"219","Eastern","Akwapim North",2015,91116.5143116042
"220","Volta","Keta",2015,73705.1327952594
"221","Ashanti","Adansi Akrofuom",2015,44562.5101041384
"222","Ashanti","Adansi North",2015,49341.7225813456
"223","Ashanti","Obuasi East",2015,98374.7923574522
"224","Ashanti","Amansie West",2015,99858.555853948
"225","Ashanti","Atwima Nwabiagya North",2015,122363.311969396
"226","Ashanti","Oforikrom",2015,198865.841550447
"227","Ashanti","Old Tafo",2015,106381.261248112
"228","Ashanti","Asokwa",2015,122009.305631906
"229","Greater Accra","Ayawaso East",2015,47810.7550134659
"230","Greater Accra","Ayawaso North",2015,58978.471446991
"231","Greater Accra","Ayawaso Central",2015,85956.6389551163
"232","Ashanti","Kwadaso",2015,139307.193026889
"233","Ashanti","Suame",2015,136160.154953003
"234","Ashanti","Asokore Mampong",2015,171161.471469902
"235","Ashanti","Afigya Kwabre South",2015,204404.146679591
"236","Ashanti","Ejisu",2015,168674.820616141
"237","Ashanti","Ahafo Ano South East",2015,53257.0264112763
"238","Greater Accra","Korle-Klottey",2015,63814.5147265196
"239","Greater Accra","Ablekuma West",2015,130976.507539272
"240","Greater Accra","Ablekuma Central",2015,159612.810889065
"241","Greater Accra","Krowor",2015,126987.966706455
"242","Greater Accra","Ga North",2015,253505.533141531
"243","Greater Accra","Weija-Gbawe",2015,187383.373414166
"244","Greater Accra","Ablekuma North",2015,139043.690639496
"245","Eastern","Birim south",2015,43903.4540666528
"246","Eastern","Birim Central",2015,66121.3621406183
"247","Eastern","Abuakwa North",2015,81850.5006156489
"248","Eastern","Atiwa East",2015,61929.2880064324
"249","Central","Awutu Senya East",2015,207258.388340056
"250","Oti","Kadjebi",2015,66020.3334527649
"251","Ashanti","Kumasi",2015,424442.891787767
"252","Greater Accra","Tema",2015,135386.921129875
"253","Greater Accra","Ga South",2015,299645.72685875
"254","Western","Sekondi-Takoradi",2015,221554.94871689
"255","Western","Effia-Kwesimintsim",2015,164586.54264893
"256","Northern","Sagnarigu",2015,263453.183414198
"257","Northern","Tamale",2015,398992.619876232
"258","Central","Cape Coast",2015,176104.417072043
"259","Greater Accra","Accra Metro",2015,263779.805941224
"260","Greater Accra","Okai Koi North",2015,146201.201062441
"261","Oti","Guan District",2015,25875.4751483649
"262","Greater Accra","Ledzokuku",2016,189472.127331406
"263","Northern East","Chereponi",2016,82258.6986579373
"264","Upper West","Wa Municipal",2016,187734.71003862
"265","Upper West","Jirapa",2016,84791.2256114036
"266","Upper West","Sissala West",2016,59921.3935012622
"267","Upper West","Lambussie",2016,45826.9531333232
"268","Upper East","Bolgatanga Municipal",2016,130712.312275184
"269","Upper East","Bongo",2016,114050.662517868
"270","Upper East","Kasena-Nankana West",2016,76429.1027990878
"271","Upper West","Wa West",2016,84759.2366094589
"272","Savannah","Sawla-Tuna-Kalba",2016,109307.775951912
"273","Upper West","Sissala East",2016,75953.4805214582
"274","Upper East","Kasena-Nankana",2016,100509.01884244
"275","Northern East","Yunyoo-Nasuan",2016,54578.2047875635
"276","Upper East","Garu",2016,56082.1569351144
"277","Northern East","East Mamprusi",2016,176013.696935898
"278","Upper East","Bawku West",2016,134880.93446767
"279","Bono","Dormaa East",2016,62113.5441483427
"280","Bono","Berekum",2016,102393.012860104
"281","Bono","Jaman South",2016,102775.755944258
"282","Bono","Sunyani West",2016,129538.247387951
"283","Ahafo","Asunafo North",2016,141573.059253291
"284","Bono East","Nkoranza North",2016,52777.1992549878
"285","Bono East","Kintampo South",2016,92115.8533234447
"286","Ahafo","Tano North",2016,88336.3172746105
"287","Volta","Ketu North",2016,101828.774782309
"288","Volta","Ketu South",2016,238206.169822752
"289","Volta","Anloga",2016,88196.5035834746
"290","Volta","South Tongu",2016,102853.968428986
"291","Oti","Jasikan",2016,55404.032550076
"292","Oti","Krachi East",2016,112459.588544935
"293","Oti","Nkwanta South",2016,131394.033289619
"294","Ashanti","Afigya Kwabre North",2016,61610.4323117882
"295","Ashanti","Atwima Kwanwoma",2016,193392.051501486
"296","Ashanti","Sekyere South",2016,113966.039387858
"297","Ashanti","Sekyere East",2016,73309.5957568185
"298","Ashanti","Sekyere Central",2016,65276.8793802001
"299","Ashanti","Offinso North",2016,73041.0864915205
"300","Ashanti","Offinso",2016,129926.501734618
"301","Greater Accra","Adentan",2016,196045.49974915
"302","Bono","Dormaa Municipal",2016,106150.044150243
"303","Ashanti","Ahafo Ano South West",2016,67982.5071644969
"304","Ashanti","Bekwai",2016,131192.589431798
"305","Ashanti","Bosomtwe",2016,150240.200966818
"306","Central","Ajumako-Enyan-Essiam",2016,113511.409326699
"307","Central","Gomoa West",2016,121462.914291266
"308","Ashanti","Obuasi",2016,88605.7505129036
"309","Ashanti","Kwabre East",2016,271608.722465078
"310","Ashanti","Ejura-Sekyedumase",2016,129726.028375695
"311","Ashanti","Atwima Nwabiagya",2016,205243.840379986
"312","Ashanti","Atwima Mponua",2016,144810.911608432
"313","Ashanti","Adansi South",2016,79998.7634092253
"314","Ashanti","Adansi Asokwa",2016,68287.5873698704
"315","Ashanti","Bosome Freho",2016,58163.7624000236
"316","Ashanti","Asante Mampong",2016,109330.968855686
"317","Central","Agona West",2016,121787.9400777
"318","Central","Agona East",2016,102171.874562493
"319","Central","Assin North",2016,86692.1139374943
"320","Central","Assin South",2016,98305.0972772036
"321","Central","Asikuma-Odoben-Brakwa",2016,121761.464155605
"322","Central","Efutu",2016,92944.6337030269
"323","Central","Gomoa East",2016,338384.278889189
"324","Central","Abura-Asebu-Kwamankese",2016,109628.573943241
"325","Western","Jomoro",2016,119138.979890208
"326","Western","Ellembelle",2016,113575.181298022
"327","Western","Prestea-Huni Valley",2016,217621.324602607
"328","Western","Ahanta West",2016,143889.366209712
"329","Western","Nzema East",2016,91794.1910695713
"330","Western","Tarkwa-Nsuaem",2016,203140.871956911
"331","Western North","Sefwi-Akontombra",2016,63582.7948226072
"332","Eastern","Akyemansa",2016,85965.4778011516
"333","Eastern","Kwahu South",2016,88917.5553261768
"334","Eastern","Asene Manso Akroso",2016,71511.4972856604
"335","Eastern","Upper Manya-Krobo",2016,67494.8606003728
"336","Eastern","Achiase",2016,44659.8838373367
"337","Eastern","Okere",2016,48387.0236588828
"338","Eastern","Yilo-Krobo",2016,118399.094279954
"339","Eastern","Atiwa West",2016,56452.9781561941
"340","Eastern","New Juaben North",2016,79904.2224903498
"341","Eastern","Fanteakwa North",2016,57503.7252931613
"342","Eastern","Birim North",2016,77484.6788215628
"343","Eastern","Asuogyaman",2016,96566.2817568374
"344","Eastern","Kwahu East",2016,66557.5123425499
"345","Eastern","Kwahu West",2016,134098.994235765
"346","Western North","Bibiani-Anhwiaso-Bekwai",2016,157033.24971329
"347","Central","Upper Denkyira East",2016,96848.5929456893
"348","Ashanti","Amansie Central",2016,85956.5839083456
"349","Ashanti","Amansie South",2016,107103.654290251
"350","Central","Upper Denkyira West",2016,92188.8343155049
"351","Central","Komenda-Edna-Eguafo-Abirem",2016,156185.878699763
"352","Western North","Sefwi-Wiawso",2016,142217.248432513
"353","Ahafo","Asunafo South",2016,87738.1757803578
"354","Bono East","Nkoranza South",2016,108049.005837438
"355","Savannah","Bole",2016,108797.902290368
"356","Eastern","Lower-Manya Krobo",2016,108252.76901654
"357","Bono East","Kintampo North",2016,124607.02382299
"358","Bono East","Atebubu-Amanten",2016,136679.276522333
"359","Northern","Kpandai",2016,83167.4666299075
"360","Oti","Nkwanta North",2016,116238.180069594
"361","Oti","Biakoye",2016,66771.3443362797
"362","Savannah","Central Gonja",2016,130720.805323162
"363","Bono East","Pru West",2016,44493.322049927
"364","Northern","Savelugu",2016,113466.864156948
"365","Northern","Karaga",2016,118856.979398109
"366","Savannah","East Gonja",2016,151128.88680192
"367","Volta","South Dayi",2016,53314.1233034953
"368","Upper West","Wa East",2016,88587.0899940487
"369","Northern","Saboba",2016,90635.208015373
"370","Northern","Gushiegu",2016,139295.848197592
"371","Northern","Nanumba North",2016,151091.840279855
"372","Northern","Nanumba South",2016,128003.791542685
"373","Bono","Wenchi",2016,116322.159790875
"374","Ahafo","Tano South",2016,82384.4460431896
"375","Bono","Sunyani Municipal",2016,181816.07495736
"376","Ashanti","Asante Akim South",2016,113863.394611386
"377","Greater Accra","Ada East",2016,74140.7209313326
"378","Greater Accra","Shai-Osudoku",2016,100237.969350015
"379","Greater Accra","Ada West",2016,68796.4769764096
"380","Greater Accra","Ningo Prampram",2016,201874.588952747
"381","Bono East","Techiman North",2016,87094.6129586026
"382","Bono","Banda",2016,27152.046290163
"383","Bono","Jaman North",2016,111637.196374878
"384","Bono","Tain",2016,107414.398893267
"385","Ashanti","Sekyere Kumawu",2016,59869.8938069791
"386","Ashanti","Sekyere Afram Plains",2016,33117.6340769194
"387","Ashanti","Asante Akim North",2016,80416.1321254624
"388","Ashanti","Asante Akim Central",2016,86561.5552368555
"389","Ashanti","Juaben",2016,56834.6986857075
"390","Greater Accra","La-Dade-Kotopon",2016,133363.342367217
"391","Western North","Aowin",2016,123462.637236954
"392","Western North","Suaman",2016,36855.982750522
"393","Western North","Bia East",2016,49587.5888497531
"394","Western North","Bia West",2016,102657.616340443
"395","Western North","Bodi",2016,61743.5230392087
"396","Western North","Juaboso",2016,92628.0906160353
"397","Western","Shama",2016,111353.484835651
"398","Western","Wassa East",2016,96457.0063955169
"399","Western","Mpohor",2016,47265.2776804753
"400","Western","Wassa Amenfi West",2016,124366.965803472
"401","Western","Wassa Amenfi Central",2016,127237.982992092
"402","Central","Mfantsiman",2016,147890.979672369
"403","Central","Ekumfi",2016,69201.5792626031
"404","Central","Twifo-Hemang Lower Denkyira",2016,62948.3308394682
"405","Central","Twifo-Ati-Mokwa",2016,94908.8578455364
"406","Central","Awutu Senya",2016,155404.30050976
"407","Greater Accra","La-Nkwantanang-Madina",2016,254457.010858081
"408","Greater Accra","Ga East",2016,298772.802766385
"409","Western","Wassa Amenfi East",2016,152221.381811948
"410","Central","Gomoa Central",2016,62880.9200120829
"411","Central","Assin Foso",2016,75737.9268999398
"412","Greater Accra","Ayawaso West",2016,90299.5996372104
"413","Greater Accra","Ga West",2016,313699.74728431
"414","Oti","Krachi West",2016,55483.6560556469
"415","Oti","Krachi Nchumuru",2016,75319.716346357
"416","Volta","Agortime-Ziope",2016,37112.9570290353
"417","Volta","Adaklu",2016,38826.0401817709
"418","Volta","Akatsi South",2016,87891.9900791124
"419","Volta","Akatsi North",2016,29628.904570993
"420","Volta","Ho",2016,165278.197041875
"421","Volta","Hohoe",2016,107493.777508179
"422","Volta","Ho West",2016,79565.8168406468
"423","Volta","Afadjato South",2016,70118.7018713932
"424","Volta","North Dayi",2016,35404.5632049814
"425","Volta","Kpando",2016,55775.4886623919
"426","Volta","North Tongu",2016,105188.206063676
"427","Volta","Central Tongu",2016,75151.3695096523
"428","Eastern","Nsawam-Adoagyiri",2016,143581.186473563
"429","Greater Accra","Ga Central",2016,265381.089650933
"430","Eastern","Akwapim South",2016,55074.2605785802
"431","Eastern","Denkyembour",2016,72854.4620395042
"432","Eastern","Kwaebibirem",2016,114260.411458392
"433","Eastern","Afram Plains South",2016,68235.5090907598
"434","Eastern","Kwahu North",2016,63137.2707099258
"435","Eastern","Suhum",2016,120860.587144636
"436","Eastern","Ayensuano",2016,87343.358174473
"437","Eastern","East Akim - Abuakwa South",2016,70228.2524991874
"438","Eastern","Upper West Akim",2016,83052.5552465096
"439","Eastern","West Akim",2016,117789.697909171
"440","Bono","Dormaa West",2016,44310.0156513099
"441","Upper West","Nadowli-Kaleo",2016,72185.3307438586
"442","Upper West","Daffiama-Bussie-Issa",2016,36859.289741314
"443","Upper West","Lawra",2016,54968.6767585473
"444","Upper West","Nandom",2016,50393.8069262779
"445","Upper East","Talensi",2016,82135.2338091973
"446","Upper East","Nabdam",2016,42284.4924525488
"447","Upper East","Builsa South",2016,35007.9275620021
"448","Upper East","Builsa North",2016,52884.0892708376
"449","Upper East","Binduri",2016,66198.3052285463
"450","Upper East","Pusiga",2016,75105.6273576971
"451","Upper East","Bawku Municipal",2016,117429.815729331
"452","Savannah","West Gonja",2016,61821.0799038438
"453","Northern","Mion",2016,92611.2993020397
"454","Northern","Yendi",2016,143440.524966373
"455","Northern","Tolon",2016,117366.283382628
"456","Northern","Kumbungu",2016,99059.0093925297
"457","Northern East","West Mamprusi",2016,166296.834327156
"458","Northern East","Mamprugu-Moagduri",2016,64565.432389617
"459","Northern","Zabzugu",2016,78487.6795582604
"460","Northern","Tatale-Sangule",2016,70412.0780236386
"461","Bono East","Sene East",2016,67569.7265868387
"462","Bono East","Sene West",2016,67478.3777624308
"463","Ahafo","Asutifi North",2016,70193.8849469423
"464","Ashanti","Ahafo Ano North",2016,85418.7066169512
"465","Ahafo","Asutifi South",2016,67664.9308383949
"466","Bono East","Techiman Municipal",2016,242550.744944394
"467","Savannah","North Gonja",2016,57630.0166880693
"468","Greater Accra","Tema West",2016,204806.499494473
"469","Greater Accra","Ashaiman",2016,200692.334328983
"470","Greater Accra","Kpone-Katamanso",2016,403118.594598599
"471","Upper East","Tempane",2016,91880.0058634207
"472","Upper East","Bolgatanga East",2016,40608.6468710564
"473","Northern East","Bunkpurugu -Nakpanduri",2016,77771.9674165994
"474","Savannah","North-East Gonja",2016,36776.3202995546
"475","Northern","Nanton",2016,44461.7399614342
"476","Bono","Berekum West",2016,42221.6960595222
"477","Bono East","Pru",2016,109511.357356254
"478","Eastern","Fanteakwa South",2016,47560.056602763
"479","Eastern","New Juaben South",2016,130661.209049875
"480","Eastern","Akwapim North",2016,93243.6661454812
"481","Volta","Keta",2016,75407.3677029954
"482","Ashanti","Adansi Akrofuom",2016,45598.461752722
"483","Ashanti","Adansi North",2016,50484.0128176734
"484","Ashanti","Obuasi East",2016,100644.355487971
"485","Ashanti","Amansie West",2016,102192.400738599
"486","Ashanti","Atwima Nwabiagya North",2016,125190.869981975
"487","Ashanti","Oforikrom",2016,203454.31797985
"488","Ashanti","Old Tafo",2016,108812.946893692
"489","Ashanti","Asokwa",2016,124796.568686401
"490","Greater Accra","Ayawaso East",2016,48912.2628040314
"491","Greater Accra","Ayawaso North",2016,60340.5181598663
"492","Greater Accra","Ayawaso Central",2016,87941.4362258911
"493","Ashanti","Kwadaso",2016,142536.03579516
"494","Ashanti","Suame",2016,139314.276245594
"495","Ashanti","Asokore Mampong",2016,175101.415829677
"496","Ashanti","Afigya Kwabre South",2016,209103.713862842
"497","Ashanti","Ejisu",2016,172580.645388585
"498","Ashanti","Ahafo Ano South East",2016,54463.3022927903
"499","Greater Accra","Korle-Klottey",2016,65285.5680510774
"500","Greater Accra","Ablekuma West",2016,133968.412099361
"501","Greater Accra","Ablekuma Central",2016,163286.423280895
"502","Greater Accra","Krowor",2016,129917.026544524
"503","Greater Accra","Ga North",2016,259300.484585099
"504","Greater Accra","Weija-Gbawe",2016,191681.435553294
"505","Greater Accra","Ablekuma North",2016,142241.591440201
"506","Eastern","Birim south",2016,44916.3143290617
"507","Eastern","Birim Central",2016,67644.411349494
"508","Eastern","Abuakwa North",2016,83746.5186439473
"509","Eastern","Atiwa East",2016,63337.2787029957
"510","Central","Awutu Senya East",2016,212072.523394831
"511","Oti","Kadjebi",2016,67552.7755815703
"512","Ashanti","Kumasi",2016,434204.158139914
"513","Greater Accra","Tema",2016,138518.05545494
"514","Greater Accra","Ga South",2016,306574.036760744
"515","Western","Sekondi-Takoradi",2016,226676.924289612
"516","Western","Effia-Kwesimintsim",2016,168369.282965996
"517","Northern","Sagnarigu",2016,269633.951624162
"518","Northern","Tamale",2016,408133.671180693
"519","Central","Cape Coast",2016,180149.330496691
"520","Greater Accra","Accra Metro",2016,269863.960885662
"521","Greater Accra","Okai Koi North",2016,149569.277510285
"522","Oti","Guan District",2016,26473.4891539998
"523","Greater Accra","Ledzokuku",2017,193832.809377104
"524","Northern East","Chereponi",2017,84149.7728122566
"525","Upper West","Wa Municipal",2017,192062.967838165
"526","Upper West","Jirapa",2017,86739.3278942169
"527","Upper West","Sissala West",2017,61298.5775242355
"528","Upper West","Lambussie",2017,46875.8525955603
"529","Upper East","Bolgatanga Municipal",2017,133718.781079879
"530","Upper East","Bongo",2017,116676.410309341
"531","Upper East","Kasena-Nankana West",2017,78190.1943407673
"532","Upper West","Wa West",2017,86697.5238500126
"533","Savannah","Sawla-Tuna-Kalba",2017,111808.223296292
"534","Upper West","Sissala East",2017,77700.9232601989
"535","Upper East","Kasena-Nankana",2017,102814.787665814
"536","Northern East","Yunyoo-Nasuan",2017,55809.2439091168
