"","region","district","year","pop"
"2637","Volta","Ketu South",2025,285167.72850588
"2638","Volta","Anloga",2025,105570.291748469
"2639","Volta","South Tongu",2025,123185.517986127
"2640","Oti","Jasikan",2025,66225.6779765654
"2641","Oti","Krachi East",2025,134614.062861291
"2642","Oti","Nkwanta South",2025,157190.858714387
"2643","Ashanti","Afigya Kwabre North",2025,73597.2357370872
"2644","Ashanti","Atwima Kwanwoma",2025,231945.081707086
"2645","Ashanti","Sekyere South",2025,136500.612256806
"2646","Ashanti","Sekyere East",2025,87858.884466473
"2647","Ashanti","Sekyere Central",2025,78092.3271293081
"2648","Ashanti","Offinso North",2025,87364.7997616762
"2649","Ashanti","Offinso",2025,155501.914312957
"2650","Greater Accra","Adentan",2025,234562.930126601
"2651","Bono","Dormaa Municipal",2025,127060.690570556
"2652","Ashanti","Ahafo Ano South West",2025,81402.3261467516
"2653","Ashanti","Bekwai",2025,157105.851273807
"2654","Ashanti","Bosomtwe",2025,180036.296732199
"2655","Central","Ajumako-Enyan-Essiam",2025,135974.131600235
"2656","Central","Gomoa West",2025,145400.112044489
"2657","Ashanti","Obuasi",2025,106046.541237677
"2658","Ashanti","Kwabre East",2025,325493.322979888
"2659","Ashanti","Ejura-Sekyedumase",2025,155297.350033672
"2660","Ashanti","Atwima Nwabiagya",2025,246117.151164577
"2661","Ashanti","Atwima Mponua",2025,173095.208037495
"2662","Ashanti","Adansi South",2025,95771.1836988647
"2663","Ashanti","Adansi Asokwa",2025,81724.1358048227
"2664","Ashanti","Bosome Freho",2025,69673.3904535528
"2665","Ashanti","Asante Mampong",2025,130872.399364924
"2666","Central","Agona West",2025,145393.207378779
"2667","Central","Agona East",2025,122538.504069768
"2668","Central","Assin North",2025,103371.977610672
"2669","Central","Assin South",2025,117668.85360036
"2670","Central","Asikuma-Odoben-Brakwa",2025,145604.375136675
"2671","Central","Efutu",2025,111201.22318233
"2672","Central","Gomoa East",2025,405069.725334213
"2673","Central","Abura-Asebu-Kwamankese",2025,131311.221301265
"2674","Western","Jomoro",2025,142664.290591186
"2675","Western","Ellembelle",2025,135994.713069298
"2676","Western","Prestea-Huni Valley",2025,260410.893269479
"2677","Western","Ahanta West",2025,172293.928883215
"2678","Western","Nzema East",2025,109725.780080109
"2679","Western","Tarkwa-Nsuaem",2025,243418.438404686
"2680","Western North","Sefwi-Akontombra",2025,76220.1096289959
"2681","Eastern","Akyemansa",2025,102920.566051638
"2682","Eastern","Kwahu South",2025,106429.947451273
"2683","Eastern","Asene Manso Akroso",2025,85601.85027688
"2684","Eastern","Upper Manya-Krobo",2025,80783.9212907725
"2685","Eastern","Achiase",2025,53347.7481123703
"2686","Eastern","Okere",2025,57951.1538858879
"2687","Eastern","Yilo-Krobo",2025,141874.282443423
"2688","Eastern","Atiwa West",2025,67685.5335746352
"2689","Eastern","New Juaben North",2025,95771.9058355242
"2690","Eastern","Fanteakwa North",2025,68473.1694794376
"2691","Eastern","Birim North",2025,92824.9687138125
"2692","Eastern","Asuogyaman",2025,115645.733668633
"2693","Eastern","Kwahu East",2025,79744.2733907681
"2694","Eastern","Kwahu West",2025,160525.615458012
"2695","Western North","Bibiani-Anhwiaso-Bekwai",2025,188088.672739653
"2696","Central","Upper Denkyira East",2025,116184.778368646
"2697","Ashanti","Amansie Central",2025,102899.038839171
"2698","Ashanti","Amansie South",2025,128179.826651969
"2699","Central","Upper Denkyira West",2025,110183.00766165
"2700","Central","Komenda-Edna-Eguafo-Abirem",2025,187046.817241741
"2701","Western North","Sefwi-Wiawso",2025,170259.023935994
"2702","Ahafo","Asunafo South",2025,105025.769365873
"2703","Bono East","Nkoranza South",2025,129351.011865722
"2704","Savannah","Bole",2025,130223.894491669
"2705","Eastern","Lower-Manya Krobo",2025,129549.954913074
"2706","Bono East","Kintampo North",2025,148751.171195941
"2707","Bono East","Atebubu-Amanten",2025,163610.263783394
"2708","Northern","Kpandai",2025,100635.460668995
"2709","Oti","Nkwanta North",2025,139303.964135537
"2710","Oti","Biakoye",2025,80026.1715948558
"2711","Savannah","Central Gonja",2025,156910.647501849
"2712","Bono East","Pru West",2025,53174.8914576313
"2713","Northern","Savelugu",2025,136335.534551821
"2714","Northern","Karaga",2025,141679.720874324
"2715","Savannah","East Gonja",2025,179343.451844159
"2716","Volta","South Dayi",2025,63852.9421239644
"2717","Upper West","Wa East",2025,106070.17722861
"2718","Northern","Saboba",2025,108541.18560343
"2719","Northern","Gushiegu",2025,166724.528904364
"2720","Northern","Nanumba North",2025,181263.776566843
"2721","Northern","Nanumba South",2025,152903.320100718
"2722","Bono","Wenchi",2025,139150.103636866
"2723","Ahafo","Tano South",2025,98671.2512913141
"2724","Bono","Sunyani Municipal",2025,217781.583938866
"2725","Ashanti","Asante Akim South",2025,136248.929822765
"2726","Greater Accra","Ada East",2025,88756.510494275
"2727","Greater Accra","Shai-Osudoku",2025,120015.373373298
"2728","Greater Accra","Ada West",2025,82300.6560770627
"2729","Greater Accra","Ningo Prampram",2025,241541.447219353
"2730","Bono East","Techiman North",2025,103916.743101569
"2731","Bono","Banda",2025,32441.8213252877
"2732","Bono","Jaman North",2025,133635.929972926
"2733","Bono","Tain",2025,128664.343774274
"2734","Ashanti","Sekyere Kumawu",2025,71613.8977203332
"2735","Ashanti","Sekyere Afram Plains",2025,39617.5746237198
"2736","Ashanti","Asante Akim North",2025,96287.2036996828
"2737","Ashanti","Asante Akim Central",2025,103638.213465445
"2738","Ashanti","Juaben",2025,67951.9200884718
"2739","Greater Accra","La-Dade-Kotopon",2025,159675.830525896
"2740","Western North","Aowin",2025,147772.581744296
"2741","Western North","Suaman",2025,44075.542297543
"2742","Western North","Bia East",2025,59365.9082405651
"2743","Western North","Bia West",2025,123144.968960764
"2744","Western North","Bodi",2025,73959.2329400256
"2745","Western North","Juaboso",2025,110610.714370353
"2746","Western","Shama",2025,133374.411569834
"2747","Western","Wassa East",2025,115398.435345341
"2748","Western","Mpohor",2025,56592.7763899397
"2749","Western","Wassa Amenfi West",2025,148817.679470045
"2750","Western","Wassa Amenfi Central",2025,151813.787411029
"2751","Central","Mfantsiman",2025,176855.575002417
"2752","Central","Ekumfi",2025,83118.4172368553
"2753","Central","Twifo-Hemang Lower Denkyira",2025,75376.8402542733
"2754","Central","Twifo-Ati-Mokwa",2025,113547.150136041
"2755","Central","Awutu Senya",2025,186153.925379634
"2756","Greater Accra","La-Nkwantanang-Madina",2025,304465.253879311
"2757","Greater Accra","Ga East",2025,358286.703909823
"2758","Western","Wassa Amenfi East",2025,182702.855521265
"2759","Central","Gomoa Central",2025,75284.4347556792
"2760","Central","Assin Foso",2025,91137.5137357898
"2761","Greater Accra","Ayawaso West",2025,108064.058551093
"2762","Greater Accra","Ga West",2025,376616.467876747
"2763","Oti","Krachi West",2025,66455.7957127104
"2764","Oti","Krachi Nchumuru",2025,90176.1250439128
"2765","Volta","Agortime-Ziope",2025,44480.8587900568
"2766","Volta","Adaklu",2025,46502.4765016176
"2767","Volta","Akatsi South",2025,105191.585791043
"2768","Volta","Akatsi North",2025,35458.5677560009
"2769","Volta","Ho",2025,197768.577072833
"2770","Volta","Hohoe",2025,128699.78186621
"2771","Volta","Ho West",2025,95258.8689770922
"2772","Volta","Afadjato South",2025,83957.296504572
