"","district_final","year","cases"
"2591","sunyani municipal",2011,7
"2592","sunyani municipal",2012,14
"2593","sunyani municipal",2013,5
"2594","sunyani municipal",2014,5
"2595","sunyani municipal",2016,3
"2596","sunyani municipal",2017,13
"2597","sunyani municipal",2018,9
"2598","sunyani municipal",2019,5
"2599","sunyani municipal",2020,1
"2600","sunyani municipal",2021,4
"2601","sunyani municipal",2022,1
"2602","sunyani municipal",2023,4
"2603","sunyani municipal",2024,7
"2604","sunyani west",2009,1
"2605","sunyani west",2010,3
"2606","sunyani west",2011,6
"2607","sunyani west",2012,11
"2608","sunyani west",2013,5
"2609","sunyani west",2014,12
"2610","sunyani west",2015,6
"2611","sunyani west",2016,14
"2612","sunyani west",2017,6
"2613","sunyani west",2018,10
"2614","sunyani west",2019,6
"2615","sunyani west",2020,9
"2616","sunyani west",2021,3
"2617","sunyani west",2022,3
"2618","sunyani west",2023,5
"2619","sunyani west",2024,2
"2620","tain",2012,3
"2621","tain",2013,22
"2622","tain",2014,43
"2623","tain",2015,27
"2624","tain",2016,20
"2625","tain",2017,14
"2626","tain",2018,21
"2627","tain",2019,4
"2628","tain",2020,7
"2629","tain",2021,13
"2630","tain",2022,12
"2631","tain",2023,21
"2632","tain",2024,17
"2633","talensi",2012,3
"2634","talensi",2013,3
"2635","talensi",2014,1
"2636","talensi",2015,2
"2637","talensi",2016,3
"2638","talensi",2017,4
"2639","talensi",2018,10
"2640","talensi",2019,7
"2641","talensi",2020,11
"2642","talensi",2021,7
"2643","talensi",2022,6
"2644","talensi",2023,2
"2645","talensi",2024,3
"2646","tamale",2013,1
"2647","tamale",2014,1
"2648","tamale",2016,2
"2649","tamale",2018,1
"2650","tamale",2019,3
"2651","tamale",2020,5
"2652","tamale",2021,11
"2653","tamale",2022,15
"2654","tamale",2023,3
"2655","tamale",2024,3
"2656","tano north",2009,1
"2657","tano north",2011,2
"2658","tano north",2012,5
"2659","tano north",2013,6
"2660","tano north",2014,8
"2661","tano north",2015,3
"2662","tano north",2016,5
"2663","tano north",2017,11
"2664","tano north",2018,3
"2665","tano north",2019,12
"2666","tano north",2020,7
"2667","tano north",2021,7
"2668","tano north",2022,9
"2669","tano north",2023,6
"2670","tano north",2024,3
"2671","tano south",2005,2
"2672","tano south",2006,1
"2673","tano south",2008,2
"2674","tano south",2010,1
"2675","tano south",2012,3
"2676","tano south",2013,7
"2677","tano south",2014,5
"2678","tano south",2015,1
"2679","tano south",2016,2
"2680","tano south",2017,9
"2681","tano south",2018,6
"2682","tano south",2019,5
"2683","tano south",2021,4
"2684","tano south",2022,4
"2685","tano south",2023,3
"2686","tano south",2024,7
"2687","tarkwa nsuaem",2010,1
"2688","tarkwa nsuaem",2011,1
"2689","tarkwa nsuaem",2014,2
"2690","tarkwa nsuaem",2015,6
"2691","tarkwa nsuaem",2016,9
"2692","tarkwa nsuaem",2017,21
"2693","tarkwa nsuaem",2018,23
"2694","tarkwa nsuaem",2019,12
"2695","tarkwa nsuaem",2020,3
"2696","tarkwa nsuaem",2021,18
"2697","tarkwa nsuaem",2022,22
"2698","tarkwa nsuaem",2023,12
"2699","tarkwa nsuaem",2024,8
"2700","tatale sangule",2006,1
"2701","tatale sangule",2016,2
"2702","tatale sangule",2017,2
"2703","tatale sangule",2018,6
"2704","tatale sangule",2019,7
"2705","tatale sangule",2020,7
"2706","tatale sangule",2021,5
"2707","tatale sangule",2022,8
"2708","tatale sangule",2023,4
"2709","tatale sangule",2024,3
"2710","techiman municipal",2005,3
"2711","techiman municipal",2006,1
"2712","techiman municipal",2008,1
"2713","techiman municipal",2010,1
"2714","techiman municipal",2012,1
"2715","techiman municipal",2013,8
"2716","techiman municipal",2014,2
"2717","techiman municipal",2015,5
"2718","techiman municipal",2016,6
"2719","techiman municipal",2017,10
"2720","techiman municipal",2018,11
"2721","techiman municipal",2019,22
"2722","techiman municipal",2020,4
"2723","techiman municipal",2021,7
"2724","techiman municipal",2022,15
"2725","techiman municipal",2023,22
"2726","techiman municipal",2024,5
"2727","techiman north",2014,2
"2728","techiman north",2016,1
"2729","techiman north",2017,2
"2730","techiman north",2020,4
"2731","techiman north",2021,15
"2732","techiman north",2022,26
"2733","techiman north",2023,12
"2734","techiman north",2024,6
"2735","tema",2012,5
"2736","tema",2013,1
"2737","tema",2018,1
"2738","tema",2019,2
"2739","tema",2020,1
"2740","tema",2022,2
"2741","tema west",2005,1
"2742","tema west",2021,2
"2743","tema west",2022,1
"2744","tema west",2024,1
"2745","tempane",2018,7
"2746","tempane",2020,7
"2747","tempane",2021,19
"2748","tempane",2022,18
"2749","tempane",2023,11
"2750","tempane",2024,4
"2751","tolon",2013,2
"2752","tolon",2014,3
"2753","tolon",2015,1
"2754","tolon",2017,1
"2755","tolon",2018,1
"2756","tolon",2019,4
"2757","tolon",2020,2
"2758","tolon",2021,5
"2759","tolon",2022,2
"2760","tolon",2023,3
"2761","tolon",2024,4
"2762","twifo ati mokwa",2015,2
"2763","twifo ati mokwa",2018,1
"2764","twifo ati mokwa",2019,5
"2765","twifo ati mokwa",2020,2
"2766","twifo ati mokwa",2021,5
"2767","twifo ati mokwa",2022,3
"2768","twifo ati mokwa",2023,4
"2769","twifo ati mokwa",2024,4
"2770","twifo hemang lower denkyira",2005,5
"2771","twifo hemang lower denkyira",2006,3
"2772","twifo hemang lower denkyira",2008,2
"2773","twifo hemang lower denkyira",2009,1
"2774","twifo hemang lower denkyira",2012,1
"2775","twifo hemang lower denkyira",2014,1
"2776","twifo hemang lower denkyira",2015,1
"2777","twifo hemang lower denkyira",2017,2
"2778","twifo hemang lower denkyira",2019,1
"2779","twifo hemang lower denkyira",2020,2
"2780","twifo hemang lower denkyira",2021,5
"2781","twifo hemang lower denkyira",2022,3
"2782","twifo hemang lower denkyira",2023,7
"2783","twifo hemang lower denkyira",2024,4
"2784","upper denkyira east",2005,3
"2785","upper denkyira east",2008,1
"2786","upper denkyira east",2009,1
"2787","upper denkyira east",2012,1
"2788","upper denkyira east",2014,3
"2789","upper denkyira east",2015,1
"2790","upper denkyira east",2016,7
"2791","upper denkyira east",2017,5
"2792","upper denkyira east",2018,5
"2793","upper denkyira east",2019,11
"2794","upper denkyira east",2020,4
"2795","upper denkyira east",2021,7
"2796","upper denkyira east",2022,5
"2797","upper denkyira east",2023,4
"2798","upper denkyira east",2024,6
"2799","upper denkyira west",2009,5
"2800","upper denkyira west",2011,3
"2801","upper denkyira west",2014,1
"2802","upper denkyira west",2015,1
"2803","upper denkyira west",2017,3
"2804","upper denkyira west",2018,2
"2805","upper denkyira west",2019,4
"2806","upper denkyira west",2020,5
"2807","upper denkyira west",2021,4
"2808","upper denkyira west",2022,3
"2809","upper denkyira west",2023,6
"2810","upper denkyira west",2024,9
"2811","upper manya krobo",2008,2
"2812","upper manya krobo",2009,4
"2813","upper manya krobo",2011,3
"2814","upper manya krobo",2013,3
"2815","upper manya krobo",2014,1
"2816","upper manya krobo",2016,2
"2817","upper manya krobo",2017,1
"2818","upper manya krobo",2018,4
"2819","upper manya krobo",2019,4
"2820","upper manya krobo",2020,2
"2821","upper manya krobo",2022,4
"2822","upper manya krobo",2024,1
"2823","upper west akim",2005,1
"2824","upper west akim",2006,4
"2825","upper west akim",2008,1
"2826","upper west akim",2011,3
"2827","upper west akim",2014,1
"2828","upper west akim",2016,2
"2829","upper west akim",2017,2
"2830","upper west akim",2019,1
"2831","upper west akim",2020,1
"2832","upper west akim",2021,2
"2833","upper west akim",2022,3
"2834","upper west akim",2023,2
"2835","upper west akim",2024,3
"2836","wa east",2006,3
"2837","wa east",2008,1
"2838","wa east",2011,9
"2839","wa east",2012,5
"2840","wa east",2013,13
"2841","wa east",2014,1
"2842","wa east",2017,4
"2843","wa east",2019,10
"2844","wa east",2020,5
"2845","wa east",2021,51
"2846","wa east",2022,36
"2847","wa east",2023,4
"2848","wa east",2024,11
"2849","wa municipal",2005,36
"2850","wa municipal",2006,22
"2851","wa municipal",2008,4
"2852","wa municipal",2009,3
"2853","wa municipal",2010,3
"2854","wa municipal",2011,23
"2855","wa municipal",2012,3
"2856","wa municipal",2013,1
"2857","wa municipal",2019,9
"2858","wa municipal",2020,2
"2859","wa municipal",2021,19
"2860","wa municipal",2022,23
"2861","wa municipal",2023,24
"2862","wa municipal",2024,11
"2863","wa west",2005,3
"2864","wa west",2006,7
"2865","wa west",2008,7
"2866","wa west",2009,7
"2867","wa west",2010,2
"2868","wa west",2011,22
"2869","wa west",2012,2
"2870","wa west",2013,7
"2871","wa west",2014,1
"2872","wa west",2016,1
"2873","wa west",2017,3
"2874","wa west",2018,1
"2875","wa west",2019,6
"2876","wa west",2020,4
"2877","wa west",2021,12
"2878","wa west",2022,17
"2879","wa west",2023,8
"2880","wa west",2024,14
"2881","wassa amenfi central",2006,4
"2882","wassa amenfi central",2008,3
"2883","wassa amenfi central",2009,6
"2884","wassa amenfi central",2010,5
"2885","wassa amenfi central",2015,4
"2886","wassa amenfi central",2016,2
"2887","wassa amenfi central",2017,7
"2888","wassa amenfi central",2018,4
"2889","wassa amenfi central",2019,5
"2890","wassa amenfi central",2020,3
"2891","wassa amenfi central",2021,2
"2892","wassa amenfi central",2022,2
"2893","wassa amenfi central",2023,9
"2894","wassa amenfi central",2024,6
"2895","wassa amenfi east",2005,3
"2896","wassa amenfi east",2006,1
"2897","wassa amenfi east",2009,2
"2898","wassa amenfi east",2010,5
"2899","wassa amenfi east",2011,2
"2900","wassa amenfi east",2013,4
"2901","wassa amenfi east",2014,8
"2902","wassa amenfi east",2015,8
"2903","wassa amenfi east",2016,7
"2904","wassa amenfi east",2017,6
"2905","wassa amenfi east",2018,7
"2906","wassa amenfi east",2019,16
"2907","wassa amenfi east",2020,1
"2908","wassa amenfi east",2021,5
"2909","wassa amenfi east",2022,7
"2910","wassa amenfi east",2023,6
"2911","wassa amenfi east",2024,8
"2912","wassa amenfi west",2005,1
"2913","wassa amenfi west",2008,2
"2914","wassa amenfi west",2012,2
"2915","wassa amenfi west",2013,4
"2916","wassa amenfi west",2014,7
"2917","wassa amenfi west",2015,3
"2918","wassa amenfi west",2016,3
"2919","wassa amenfi west",2017,3
"2920","wassa amenfi west",2018,1
"2921","wassa amenfi west",2019,3
"2922","wassa amenfi west",2020,3
"2923","wassa amenfi west",2021,2
"2924","wassa amenfi west",2022,5
"2925","wassa amenfi west",2023,7
"2926","wassa amenfi west",2024,3
"2927","wassa east",2010,2
"2928","wassa east",2012,1
"2929","wassa east",2017,1
"2930","wassa east",2020,2
"2931","wassa east",2021,12
"2932","wassa east",2022,8
"2933","wassa east",2023,6
"2934","wassa east",2024,2
"2935","weija gbawe",2020,5
"2936","weija gbawe",2021,12
"2937","weija gbawe",2022,3
"2938","weija gbawe",2023,6
"2939","weija gbawe",2024,4
"2940","wenchi",2005,5
"2941","wenchi",2010,1
"2942","wenchi",2011,1
"2943","wenchi",2012,3
"2944","wenchi",2013,4
"2945","wenchi",2014,2
"2946","wenchi",2015,1
"2947","wenchi",2016,5
"2948","wenchi",2017,3
"2949","wenchi",2018,7
"2950","wenchi",2019,2
"2951","wenchi",2020,6
"2952","wenchi",2021,9
"2953","wenchi",2022,13
"2954","wenchi",2023,6
"2955","wenchi",2024,4
"2956","west akim",2012,1
"2957","west akim",2013,2
"2958","west akim",2014,2
"2959","west akim",2018,3
"2960","west akim",2019,5
"2961","west akim",2020,2
"2962","west akim",2021,5
"2963","west akim",2022,3
"2964","west akim",2023,5
"2965","west akim",2024,14
"2966","west gonja",2012,6
"2967","west gonja",2013,2
"2968","west gonja",2015,2
"2969","west gonja",2016,9
"2970","west gonja",2017,4
"2971","west gonja",2018,3
"2972","west gonja",2019,4
"2973","west gonja",2020,6
"2974","west gonja",2021,114
"2975","west gonja",2022,3
"2976","west gonja",2023,1
"2977","west gonja",2024,1
"2978","west mamprusi",2012,1
"2979","west mamprusi",2013,1
"2980","west mamprusi",2015,1
"2981","west mamprusi",2016,4
"2982","west mamprusi",2017,1
"2983","west mamprusi",2018,3
"2984","west mamprusi",2019,2
"2985","west mamprusi",2020,1
"2986","west mamprusi",2021,4
"2987","west mamprusi",2022,3
"2988","west mamprusi",2023,1
"2989","west mamprusi",2024,1
"2990","yendi",2008,1
"2991","yendi",2014,1
"2992","yendi",2015,5
"2993","yendi",2016,2
"2994","yendi",2017,4
"2995","yendi",2018,1
"2996","yendi",2019,9
"2997","yendi",2020,6
"2998","yendi",2021,5
"2999","yendi",2022,5
"3000","yendi",2023,2
"3001","yendi",2024,3
"3002","yilo krobo",2009,2
"3003","yilo krobo",2010,1
"3004","yilo krobo",2011,7
"3005","yilo krobo",2012,4
"3006","yilo krobo",2013,7
"3007","yilo krobo",2014,22
"3008","yilo krobo",2015,12
"3009","yilo krobo",2016,15
"3010","yilo krobo",2017,15
"3011","yilo krobo",2018,3
"3012","yilo krobo",2019,22
"3013","yilo krobo",2020,5
"3014","yilo krobo",2021,8
"3015","yilo krobo",2022,8
"3016","yilo krobo",2023,7
"3017","yilo krobo",2024,1
"3018","yunyoo nasuan",2016,1
"3019","yunyoo nasuan",2017,1
"3020","yunyoo nasuan",2018,1
"3021","yunyoo nasuan",2019,3
"3022","yunyoo nasuan",2020,2
"3023","yunyoo nasuan",2021,3
"3024","yunyoo nasuan",2022,2
"3025","yunyoo nasuan",2023,4
"3026","yunyoo nasuan",2024,5
"3027","zabzugu",2015,1
"3028","zabzugu",2016,1
"3029","zabzugu",2017,11
"3030","zabzugu",2018,22
"3031","zabzugu",2019,6
"3032","zabzugu",2020,4
"3033","zabzugu",2021,4
"3034","zabzugu",2022,2
"3035","zabzugu",2023,3
"3036","zabzugu",2024,4
